analysis_area_id	month	year	monthly_factor
16	2	2012	0.64
16	3	2012	1.06
16	4	2012	1.14
16	5	2012	1.28
16	6	2012	1.41
16	7	2012	1.24
16	8	2012	1.26
16	9	2012	1.36
16	10	2012	0.86
16	11	2012	0.77
16	12	2012	0.65
16	1	2013	0.56
16	2	2013	0.53
16	3	2013	0.64
16	4	2013	1.26
16	5	2013	1.32
16	6	2013	1.34
16	7	2013	1.34
16	8	2013	1.34
16	9	2013	1.49
16	10	2013	1.05
16	11	2013	0.86
16	12	2013	0.48
16	1	2014	0.33
16	2	2014	0.41
16	3	2014	0.54
16	4	2014	1.21
16	5	2014	1.51
16	6	2014	1.53
16	7	2014	1.48
16	8	2014	1.39
16	9	2014	1.40
16	10	2014	1.08
16	11	2014	0.73
16	12	2014	0.52
16	1	2015	0.30
16	2	2015	0.29
16	3	2015	0.55
16	4	2015	1.14
16	5	2015	1.51
16	6	2015	1.30
16	7	2015	1.38
16	8	2015	1.47
16	9	2015	1.43
16	10	2015	1.11
16	11	2015	0.95
16	12	2015	0.75
16	1	2016	0.35
16	2	2016	0.47
16	3	2016	0.93
16	4	2016	0.83
16	5	2016	1.20
16	6	2016	1.60
16	7	2016	1.41
16	8	2016	1.35
16	9	2016	1.34
16	10	2016	1.22
16	11	2016	1.00
16	12	2016	0.59
17	1	2010	0.65
17	2	2010	0.26
17	3	2010	1.16
17	4	2010	1.34
17	5	2010	1.17
17	6	2010	1.16
17	7	2010	1.07
17	8	2010	1.15
17	9	2010	1.20
17	10	2010	1.29
17	11	2010	0.97
17	12	2010	0.56
17	1	2011	0.60
17	2	2011	0.92
17	3	2011	1.11
17	4	2011	1.27
17	5	2011	1.18
17	6	2011	1.14
17	7	2011	0.89
17	8	2011	1.05
17	9	2011	1.03
17	10	2011	1.04
17	11	2011	1.04
17	12	2011	0.79
17	1	2012	0.86
17	2	2012	1.04
17	3	2012	1.34
17	4	2012	1.40
17	5	2012	1.11
17	6	2012	1.03
17	7	2012	0.74
17	8	2012	0.88
17	9	2012	1.13
17	10	2012	0.94
17	11	2012	0.80
17	12	2012	0.80
17	1	2013	0.84
17	2	2013	0.86
17	3	2013	1.01
17	4	2013	1.27
17	5	2013	1.07
17	6	2013	0.96
17	7	2013	0.84
17	8	2013	1.01
17	9	2013	1.37
17	10	2013	1.14
17	11	2013	0.99
17	12	2013	0.69
17	1	2014	0.61
17	2	2014	0.89
17	3	2014	1.00
17	4	2014	1.23
17	5	2014	1.80
17	6	2014	0.91
17	7	2014	0.89
17	8	2014	1.03
17	9	2014	1.17
17	10	2014	1.12
17	11	2014	0.80
17	12	2014	0.59
17	1	2015	0.59
17	2	2015	0.63
17	3	2015	1.04
17	4	2015	1.36
17	5	2015	1.16
17	6	2015	0.84
17	7	2015	0.94
17	8	2015	1.13
17	9	2015	1.16
17	10	2015	1.22
17	11	2015	1.00
17	12	2015	0.92
17	1	2016	0.69
17	2	2016	0.84
17	3	2016	1.23
17	4	2016	1.48
17	5	2016	1.13
17	6	2016	1.08
17	7	2016	0.86
17	8	2016	0.90
17	9	2016	1.07
17	10	2016	1.17
17	11	2016	0.97
17	12	2016	0.66
18	1	2013	0.47
18	2	2013	0.38
18	3	2013	0.59
18	4	2013	1.28
18	5	2013	1.11
18	6	2013	1.59
18	7	2013	1.64
18	8	2013	1.69
18	9	2013	1.36
18	10	2013	0.91
18	11	2013	0.40
18	12	2013	0.39
18	1	2014	0.22
18	2	2014	0.40
18	3	2014	0.65
18	4	2014	1.58
18	5	2014	1.49
18	6	2014	1.59
18	7	2014	1.67
18	8	2014	1.49
18	9	2014	1.33
18	10	2014	0.77
18	11	2014	0.37
18	12	2014	0.20
18	1	2015	0.20
18	2	2015	0.14
18	3	2015	0.47
18	4	2015	1.18
18	5	2015	1.52
18	6	2015	1.38
18	7	2015	1.61
18	8	2015	1.72
18	9	2015	1.37
18	10	2015	0.92
18	11	2015	0.70
18	12	2015	0.55
18	1	2016	0.26
18	2	2016	0.40
18	3	2016	0.81
18	4	2016	1.02
18	5	2016	1.14
18	6	2016	1.68
18	7	2016	1.54
18	8	2016	1.50
18	9	2016	1.41
18	10	2016	1.08
18	11	2016	0.77
18	12	2016	0.34
19	1	2013	0.57
19	2	2013	0.53
19	3	2013	0.73
19	4	2013	1.21
19	5	2013	1.33
19	6	2013	1.22
19	7	2013	1.23
19	8	2013	1.33
19	9	2013	1.40
19	10	2013	1.06
19	11	2013	0.79
19	12	2013	0.52
19	1	2014	0.33
19	2	2014	0.52
19	3	2014	0.62
19	4	2014	0.77
19	5	2014	1.53
19	6	2014	1.52
19	7	2014	1.42
19	8	2014	1.46
19	9	2014	1.29
19	10	2014	1.12
19	11	2014	0.72
19	12	2014	0.54
19	1	2015	0.47
19	2	2015	0.39
19	3	2015	0.88
19	4	2015	1.20
19	5	2015	1.42
19	6	2015	1.31
19	7	2015	1.30
19	8	2015	1.34
19	9	2015	1.19
19	10	2015	0.96
19	11	2015	0.78
19	12	2015	0.67
19	1	2016	0.44
19	2	2016	0.55
19	3	2016	0.93
19	4	2016	1.14
19	5	2016	1.06
19	6	2016	1.42
19	7	2016	1.31
19	8	2016	1.43
19	9	2016	1.27
19	10	2016	1.16
19	11	2016	0.78
19	12	2016	0.45
20	1	2014	0.28
20	2	2014	0.46
20	3	2014	0.55
20	4	2014	1.05
20	5	2014	1.44
20	6	2014	1.61
20	7	2014	1.44
20	8	2014	1.42
20	9	2014	1.47
20	10	2014	1.12
20	11	2014	0.74
20	12	2014	0.51
20	1	2015	0.38
20	2	2015	0.32
20	3	2015	0.55
20	4	2015	1.09
20	5	2015	1.51
20	6	2015	1.30
20	7	2015	1.37
20	8	2015	1.45
20	9	2015	1.45
20	10	2015	1.12
20	11	2015	0.86
20	12	2015	0.67
20	1	2016	0.35
20	2	2016	0.47
20	3	2016	0.81
20	4	2016	0.99
20	5	2016	1.12
20	6	2016	1.47
20	7	2016	1.32
20	8	2016	1.42
20	9	2016	1.42
20	10	2016	1.27
20	11	2016	1.04
20	12	2016	0.57
21	1	2014	0.62
21	2	2014	0.75
21	3	2014	0.82
21	4	2014	1.22
21	5	2014	1.20
21	6	2014	1.23
21	7	2014	1.20
21	8	2014	1.14
21	9	2014	1.22
21	10	2014	1.08
21	11	2014	0.87
21	12	2014	0.70
21	1	2015	0.61
21	2	2015	0.59
21	3	2015	0.87
21	4	2015	1.17
21	5	2015	1.25
21	6	2015	1.24
21	7	2015	1.10
21	8	2015	1.16
21	9	2015	1.15
21	10	2015	1.08
21	11	2015	1.02
21	12	2015	0.87
21	1	2016	0.75
21	2	2016	0.81
21	3	2016	1.08
21	4	2016	1.13
21	5	2016	1.11
21	6	2016	1.26
21	7	2016	1.03
21	8	2016	1.04
21	9	2016	1.12
21	10	2016	1.15
21	11	2016	0.97
21	12	2016	0.70
22	1	2012	0.60
22	2	2012	0.58
22	3	2012	0.00
22	4	2012	0.00
22	5	2012	1.38
22	6	2012	1.93
22	7	2012	1.65
22	8	2012	1.63
22	9	2012	1.77
22	10	2012	1.17
22	11	2012	0.76
22	12	2012	0.65
22	1	2013	0.43
22	2	2013	0.39
22	3	2013	0.57
22	4	2013	1.33
22	5	2013	1.36
22	6	2013	1.43
22	7	2013	1.40
22	8	2013	1.46
22	9	2013	1.50
22	10	2013	1.08
22	11	2013	0.73
22	12	2013	0.39
22	1	2014	0.22
22	2	2014	0.32
22	3	2014	0.48
22	4	2014	1.44
22	5	2014	1.62
22	6	2014	1.65
22	7	2014	1.48
22	8	2014	1.45
22	9	2014	1.33
22	10	2014	1.03
22	11	2014	0.58
22	12	2014	0.39
22	1	2015	0.26
22	2	2015	0.22
22	3	2015	0.54
22	4	2015	1.28
22	5	2015	1.57
22	6	2015	1.35
22	7	2015	1.37
22	8	2015	1.45
22	9	2015	1.35
22	10	2015	1.14
22	11	2015	0.93
22	12	2015	0.65
23	1	2012	0.80
23	2	2012	0.73
23	3	2012	0.00
23	4	2012	0.00
23	5	2012	1.38
23	6	2012	1.70
23	7	2012	1.36
23	8	2012	1.42
23	9	2012	1.68
23	10	2012	1.38
23	11	2012	0.86
23	12	2012	0.73
23	1	2013	0.62
23	2	2013	0.59
23	3	2013	0.79
23	4	2013	1.38
23	5	2013	1.24
23	6	2013	1.42
23	7	2013	1.19
23	8	2013	1.22
23	9	2013	1.26
23	10	2013	1.04
23	11	2013	0.76
23	12	2013	0.47
23	1	2014	0.41
23	2	2014	0.58
23	3	2014	0.73
23	4	2014	1.21
23	5	2014	1.47
23	6	2014	1.65
23	7	2014	1.34
23	8	2014	1.15
23	9	2014	1.25
23	10	2014	1.04
23	11	2014	0.64
23	12	2014	0.44
23	1	2015	0.43
23	2	2015	0.42
23	3	2015	0.80
23	4	2015	1.33
23	5	2015	1.58
23	6	2015	1.23
23	7	2015	1.27
23	8	2015	1.24
23	9	2015	1.18
23	10	2015	1.11
23	11	2015	0.84
23	12	2015	0.65
24	1	2013	0.00
24	2	2013	0.00
24	3	2013	0.00
24	4	2013	0.00
24	5	2013	0.20
24	6	2013	1.61
24	7	2013	1.56
24	8	2013	1.73
24	9	2013	1.86
24	10	2013	2.27
24	11	2013	1.82
24	12	2013	1.20
24	1	2014	0.33
24	2	2014	0.39
24	3	2014	0.55
24	4	2014	1.08
24	5	2014	1.41
24	6	2014	1.47
24	7	2014	1.36
24	8	2014	1.49
24	9	2014	1.53
24	10	2014	1.23
24	11	2014	0.69
24	12	2014	0.51
24	1	2015	0.35
24	2	2015	0.28
24	3	2015	0.57
24	4	2015	1.27
24	5	2015	1.71
24	6	2015	1.43
24	7	2015	1.65
24	8	2015	1.53
24	9	2015	1.37
24	10	2015	0.83
24	11	2015	0.59
24	12	2015	0.47
24	1	2016	0.34
24	2	2016	0.15
24	3	2016	0.42
24	4	2016	0.87
24	5	2016	1.12
24	6	2016	1.65
24	7	2016	1.65
24	8	2016	1.57
24	9	2016	1.49
24	10	2016	1.30
24	11	2016	1.00
24	12	2016	0.60
25	1	2013	1.08
25	2	2013	0.96
25	3	2013	1.03
25	4	2013	0.32
25	5	2013	0.21
25	6	2013	1.15
25	7	2013	0.88
25	8	2013	1.03
25	9	2013	1.19
25	10	2013	1.51
25	11	2013	1.37
25	12	2013	1.14
25	1	2014	0.48
25	2	2014	0.58
25	3	2014	0.71
25	4	2014	1.06
25	5	2014	1.21
25	6	2014	1.16
25	7	2014	1.15
25	8	2014	1.15
25	9	2014	1.20
25	10	2014	1.06
25	11	2014	0.80
25	12	2014	0.96
25	1	2015	0.60
25	2	2015	0.53
25	3	2015	0.90
25	4	2015	1.15
25	5	2015	1.31
25	6	2015	1.36
25	7	2015	1.73
25	8	2015	1.18
25	9	2015	1.29
25	10	2015	0.87
25	11	2015	0.38
25	12	2015	0.83
25	1	2016	0.31
25	2	2016	0.73
25	3	2016	0.66
25	4	2016	0.95
25	5	2016	1.17
25	6	2016	1.21
25	7	2016	1.07
25	8	2016	1.05
25	9	2016	1.28
25	10	2016	1.20
25	11	2016	1.08
25	12	2016	0.88
26	1	2015	0.32
26	2	2015	0.29
26	3	2015	0.55
26	4	2015	1.19
26	5	2015	1.54
26	6	2015	1.34
26	7	2015	1.39
26	8	2015	1.48
26	9	2015	1.40
26	10	2015	1.05
26	11	2015	0.89
26	12	2015	0.71
26	1	2016	0.34
26	2	2016	0.46
26	3	2016	0.93
26	4	2016	1.02
26	5	2016	1.09
26	6	2016	1.62
26	7	2016	1.41
26	8	2016	1.37
26	9	2016	1.31
26	10	2016	1.18
26	11	2016	0.97
26	12	2016	0.57
27	1	2013	0.58
27	2	2013	0.55
27	3	2013	0.67
27	4	2013	1.21
27	5	2013	1.23
27	6	2013	1.27
27	7	2013	1.28
27	8	2013	1.33
27	9	2013	1.43
27	10	2013	1.10
27	11	2013	0.92
27	12	2013	0.59
27	1	2014	0.82
27	2	2014	0.87
27	3	2014	0.66
27	4	2014	1.00
27	5	2014	1.18
27	6	2014	1.25
27	7	2014	1.22
27	8	2014	1.32
27	9	2014	1.39
27	10	2014	1.08
27	11	2014	0.89
27	12	2014	0.53
27	1	2015	0.46
27	2	2015	0.36
27	3	2015	0.58
27	4	2015	1.11
27	5	2015	1.45
27	6	2015	1.31
27	7	2015	1.34
27	8	2015	1.41
27	9	2015	1.37
27	10	2015	1.08
27	11	2015	0.96
27	12	2015	0.74
27	1	2016	0.41
27	2	2016	0.53
27	3	2016	0.95
27	4	2016	1.04
27	5	2016	1.08
27	6	2016	1.50
27	7	2016	1.26
27	8	2016	1.31
27	9	2016	1.34
27	10	2016	1.23
27	11	2016	1.01
27	12	2016	0.60
28	1	2013	0.73
28	2	2013	0.70
28	3	2013	0.83
28	4	2013	1.23
28	5	2013	1.10
28	6	2013	1.11
28	7	2013	1.07
28	8	2013	1.16
28	9	2013	1.23
28	10	2013	1.16
28	11	2013	0.95
28	12	2013	0.87
28	1	2014	0.63
28	2	2014	0.67
28	3	2014	0.73
28	4	2014	1.14
28	5	2014	1.19
28	6	2014	1.15
28	7	2014	1.11
28	8	2014	1.22
28	9	2014	1.30
28	10	2014	1.24
28	11	2014	0.96
28	12	2014	0.72
28	1	2015	0.58
28	2	2015	0.56
28	3	2015	0.88
28	4	2015	1.29
28	5	2015	1.34
28	6	2015	1.06
28	7	2015	1.11
28	8	2015	1.17
28	9	2015	1.13
28	10	2015	1.15
28	11	2015	1.00
28	12	2015	0.83
28	1	2016	0.66
28	2	2016	0.77
28	3	2016	1.18
28	4	2016	1.26
28	5	2016	1.14
28	6	2016	1.26
28	7	2016	0.83
28	8	2016	0.84
28	9	2016	1.17
28	10	2016	1.27
28	11	2016	1.06
28	12	2016	0.67
29	1	2012	0.71
29	2	2012	0.88
29	3	2012	1.18
29	4	2012	1.13
29	5	2012	1.11
29	6	2012	1.05
29	7	2012	1.18
29	8	2012	1.27
29	9	2012	1.16
29	10	2012	1.01
29	11	2012	0.68
29	12	2012	0.63
29	1	2013	0.71
29	2	2013	0.63
29	3	2013	0.88
29	4	2013	1.92
29	5	2013	1.93
29	6	2013	1.91
29	7	2013	2.09
29	8	2013	1.32
29	9	2013	0.00
29	10	2013	0.00
29	11	2013	0.00
29	12	2013	0.57
29	1	2014	0.23
29	2	2014	0.34
29	3	2014	0.48
29	4	2014	1.25
29	5	2014	1.49
29	6	2014	1.56
29	7	2014	1.55
