analysis_area_id	date	volume
233	2016-03-21 00:00:00+00:00	117
233	2016-03-22 00:00:00+00:00	164
233	2016-03-23 00:00:00+00:00	120
233	2016-03-24 00:00:00+00:00	146
233	2016-03-25 00:00:00+00:00	222
233	2016-03-26 00:00:00+00:00	192
233	2016-03-27 00:00:00+00:00	148
233	2016-03-28 00:00:00+00:00	251
233	2016-03-29 00:00:00+00:00	289
233	2016-03-30 00:00:00+00:00	362
233	2016-03-31 00:00:00+00:00	330
233	2016-04-01 00:00:00+00:00	329
233	2016-04-02 00:00:00+00:00	310
233	2016-04-03 00:00:00+00:00	320
233	2016-04-04 00:00:00+00:00	159
233	2016-04-05 00:00:00+00:00	209
233	2016-04-06 00:00:00+00:00	279
233	2016-04-07 00:00:00+00:00	430
233	2016-04-08 00:00:00+00:00	342
233	2016-04-09 00:00:00+00:00	306
233	2016-04-10 00:00:00+00:00	275
233	2016-04-11 00:00:00+00:00	267
233	2016-04-12 00:00:00+00:00	130
233	2016-04-13 00:00:00+00:00	188
233	2016-04-14 00:00:00+00:00	158
233	2016-04-15 00:00:00+00:00	227
233	2016-04-16 00:00:00+00:00	377
233	2016-04-17 00:00:00+00:00	448
233	2016-04-18 00:00:00+00:00	388
233	2016-04-19 00:00:00+00:00	385
233	2016-04-20 00:00:00+00:00	410
233	2016-04-21 00:00:00+00:00	347
233	2016-04-22 00:00:00+00:00	152
233	2016-04-23 00:00:00+00:00	178
233	2016-04-24 00:00:00+00:00	190
233	2016-04-25 00:00:00+00:00	306
233	2016-04-26 00:00:00+00:00	316
233	2016-04-27 00:00:00+00:00	275
233	2016-04-28 00:00:00+00:00	306
233	2016-04-29 00:00:00+00:00	216
233	2016-04-30 00:00:00+00:00	378
233	2016-05-01 00:00:00+00:00	439
233	2016-05-02 00:00:00+00:00	417
233	2016-05-03 00:00:00+00:00	387
233	2016-05-04 00:00:00+00:00	284
233	2016-05-05 00:00:00+00:00	340
233	2016-05-06 00:00:00+00:00	404
233	2016-05-07 00:00:00+00:00	371
233	2016-05-08 00:00:00+00:00	295
233	2016-05-09 00:00:00+00:00	338
233	2016-05-10 00:00:00+00:00	388
233	2016-05-11 00:00:00+00:00	424
